71nl 1ds 200gp 10sm	תקינו ליה רבנן
22nl 2ds 580gp 10sm	פירכא٠ טבא חדא פילפלתא חריפתא
32nl 2ds 580gp 10sm	ממלי צנא דקרי٠
33nl 2ds 580gp 10sm	"חטאת ואשם ודאי" הוא דמכפרי٠ "אשם תלוי" לא מכפר٠ והא
43nl 2ds 580gp 10sm	כתיבא ביה "כפרה" ٠٠٠ "אשם תלוי" לא מכפר "כפרה גמורה"٠ דלכי מתרע ליה בעי איתויי "קרבן"٠
24nl 2ds 580gp 10sm	השתא על "לא תעשה" מכפרא٠ על "עשה"
34nl 2ds 580gp 10sm	מיבעיא٠
10nl 1ds 680gp 10sm	"לא תשא" וכל דכותה
30nl 1ds 680gp 10sm	"לא תשא" וכל דכותה٠
13nl 1ds 680gp 10sm	היכי דמי٠ כגון אנא דאי שקילנא בישרא מטבחא
23nl 1ds 680gp 10sm	ולא יהיבנא דמי לאלתר٠ ולא אמרן אלא באתרא דלא תבעי٠ אבל
33nl 1ds 680gp 10sm	באתרא דתבעי לית לן בה٠ אמ׳ רבינא٠ ומתא מחסיה אתרא דתבעי הוא٠ אביי
43nl 1ds 680gp 10sm	כי הוה שקיל בישרא מתרי שותפי יהיב ליה זוזא למר וזוזא למר٠ ובתר הכי מקריב להו
53nl 1ds 680gp 10sm	לגבי הדדי ועביד חושבנא בהדיהו٠ כגון אנא דאי מסגינא "ארבע אמות" בלא "תפלין"٠
73nl 1ds 680gp 10sm	שרא
83nl 1ds 680gp 10sm	ליה מריה לפלניא٠
92nl 2ds 680gp 10sm	מחוי רב יהודה٠
35nl 2ds 680gp 10sm	רב כי הוה נפיק לדינא הוה אמ׳ הכי٠
10nl 1ds 780gp 10sm	בצבו נפשיה לקטלא נפיק٠ וצבו לביתיה ליתיה
20nl 1ds 780gp 10sm	עביד٠ וריקן לביתיה עייל٠
30nl 1ds 780gp 10sm	כי הוה חזי אמבוחא דהוה אתי בתריה הוה אמ׳٠
50nl 1ds 780gp 10sm	מר זוטרא כי הוה מכתפי ליה בשבתא דריגלא הוה אמ׳٠
63nl 1ds 780gp 10sm	מאן "אלהים"٠ דיינא٠
73nl 1ds 780gp 10sm	אי הכי אימא סופה٠
44nl 1ds 780gp 10sm	ר׳ ירמיה הויא ליה מילתא לר׳ אבא בהדיה٠ אזל למיפקא ליה אדעתיה٠ יתיב אבאבא٠ אפיק אמתיה כינשא ושדאי٠ אתא אבקא כסייה٠ אמ׳ "עשאוני"
64nl 1ds 780gp 10sm	"אשפה"٠ שמע ר׳ אבא נפק אבתריה٠ אמ׳ ליה٠ השתא ודאי אנא מחייבנא למיפקא לך אדעתך٠
74nl 1ds 780gp 10sm	ר׳ זירא כי הוה ליה מילתא בהדי אניש הוה אזיל ואתי קמיה וממצי ליה נפשיה٠ כי היכי דניתי ניפוק
84nl 1ds 780gp 10sm	ליה אדעתיה٠ רב הויא ליה מילתא בהדי ההוא טבחא٠ לא אתא נפק ליה אדעתיה במעלי יומא דכיפורי٠ אמ׳٠ איזיל אנא
94nl 1ds 780gp 10sm	לגביה٠ פגע ביה רב הונא٠ אמ׳ ליה٠ קאזיל אבא למיקטל٠
05nl 1ds 780gp 10sm	אזל קם עילויה٠ הוה יתיב קא פלי רישא٠ דלי עיניה חזייה٠ אמ׳ ליה٠ אבא את٠ לית לי מילתא בהדך٠
15nl 1ds 780gp 10sm	אישתמיט גרמא٠ איתיב ליה בקועיה ומית٠ רב הוה קא פסיק סידרא קמיה דרבי٠
10nl 2ds 780gp 10sm	אתא ר׳ חייא٠
20nl 2ds 780gp 10sm	הדר לרישא٠ אתא ר׳ שמעון ברבי٠ הדר לרישא٠ אתא בר קפרא٠ הדר לרישא٠
30nl 2ds 780gp 10sm	אתא ר׳ חנינא בר חמא٠ אמ׳٠ כל הכי
40nl 2ds 780gp 10sm	ניהדר וניזיל٠ לא הדר٠ איקפד ר׳ חנינא٠ אזל
50nl 2ds 780gp 10sm	לגביה תליסר יומי דכיפורי ולא איפייס מיניה٠
60nl 2ds 780gp 10sm	היכי עביד הכי٠
80nl 2ds 780gp 10sm	רבה שני٠ ור׳ חנינא היכי
90nl 2ds 780gp 10sm	עביד הכי٠
11nl 2ds 780gp 10sm	ר׳ חנינא חזייה לרב בחילמיה דזקפוה בבבל٠
21nl 2ds 780gp 10sm	וגמירי דמאן דזקפ{{ו}}^י^ ליה בחילמא הוי רישא ומשוי רישוותא٠ אמ׳٠
31nl 2ds 780gp 10sm	שמע מינה٠ בעי למיהוי רישא ומשוי רישואתא בבבל٠ לא
41nl 2ds 780gp 10sm	איפייס מיניה٠ כי היכי דניזיל ניגמר אוריתא בבבל٠
43nl 2ds 780gp 10sm	והינו וידוייה דרבא כולה שתא٠
73nl 2ds 780gp 10sm	תו לא צריך٠
83nl 2ds 780gp 10sm	הוה קאימנא קמיה דשמואל
93nl 2ds 780gp 10sm	והוה יתיב מיתב٠ כי מטא שליחא דצבור׳ "אבל חטאנו"٠
04nl 2ds 780gp 10sm	קם מיקם٠ אמינא٠ שמע מינה٠
14nl 2ds 780gp 10sm	עיקר וידוייה האי הוא٠
54nl 2ds 780gp 10sm	מאי "נעילת שערים"
64nl 2ds 780gp 10sm	רב אמ׳٠ צלותא יתירתא٠
94nl 2ds 780gp 10sm	תנאי היא٠ עולא בר רב נחית קמיה דרבא٠ פתח "באתה בחרתנו" וסיים "במה אנו"٠ ושבחיה٠ רב נתן אבוה דרב חיא בריה דרב נתן
15nl 2ds 780gp 10sm	נחית קמיה דרב פפא٠ פתח "באתה בחרתנו"٠ וסיים "במה אנו" ושבחיה٠
35nl 2ds 780gp 10sm	רב לטעמיה٠ דאמ׳٠ צלותא יתירא٠ והא צלי ליה למה לי٠
11nl 1ds 880gp 10sm	לא קשיא٠ הא דצלי٠ הא דלא צלי٠
21nl 1ds 880gp 10sm	אי דצלי מאי טעמיהו דרבנן٠
91nl 1ds 880gp 10sm	ואמרינן٠ אי דאיכא "גמי"٠ דכולי עלמא לא פליגי٠ כי פליגי להדורי٠ ר׳ יוסי סבר٠ "טבילה בזמנה מצוה" ולא מהדרינן٠ ורבנן סברי٠ "טבילה בזמנה" לאו "מצוה" ומהדרינן٠
32nl 1ds 880gp 10sm	מאי דהוה הוה٠
23nl 1ds 880gp 10sm	כי אתא רב דימי
33nl 1ds 880gp 10sm	אמ׳٠ מפיש חיי٠ סגי ומסגי٠
